Feature,Importance
BCBG14I,0.1183310683470931
BCBG16B,0.10605781510406534
BCBG16A,0.10442139412882716
BCBG15H,0.10417016428891655
BCBG14G,0.08632840236109089
BCBG15G,0.0733295261276375
BCBG14H,0.0698923631905844
BCBG15F,0.061396428662882585
BCBG15A,0.05652592668048362
BCBG14E,0.048243740630227946
BCBG15D,0.0415318990833028
BCBG15B,0.03317341442645319
BCBG15E,0.02143731581094705
BCBG15C,0.02028745538797019
BCBGEAS,0.019983805990835334
BCBG14J,0.0195146352358425
BCDGEAS,0.013721387779356197
BCBG14F,0.0016532567634836074
